,question,label
2167,what is the probability of a person to score 5 or more in an exam consisting of 12 multiple choice questions each question has 4 choices and 1 right answer? guys answer pls with explanation ,DIRECT
5421,okay i have a concern that my result will be bad why? because when i replace my zeros values i cheat my history and for example i will get a inflated forecast?,DIRECT
3936,hello all can anyone recommend some resources for product data scientist roles? it s very difficult to find on the net,DIRECT
6349,what do they mean by registered registration ? another paper on the same dataset said they took projections and did some processing on them in the actual dataset i only have 10 folders of 50 slides for each patient whereas i expected is that a side effect of the inspiration expiration matching? how do i tell what sampling rate i m looking at?,DIRECT
5141,because i can do that course?,DIRECT
5330,hey guys new to python data science i ve got some really basic questions that ll show just how new i am like what s the most friendly online ide i can use? what a good start tutorial wise? yt vids beginner text books that helped you guys? if theres already a channel with a list i d love to be pointed to it ,DIRECT
706, i want to use it in regression it is best? necessary? to do a log transformation first to get it into a gaussian form depends you can do other transformation like scaling and log but if your data is skewed already how good can it be? what is your objective? to get a better accuracy score? or do a hypothesis test? why not try both side by side to determine the difference? i personally have seen log transformation do very well for clustering for linear models could very well do the same but it depends on what your y is ,DIRECT
3693, what would be interesting and would use that async appropriately is sending the request to multiple services and letting the user pick the most appropriate one i didn t get this exactly? in the current workflow the user chooses a service at the beginning and goes along with that until now we haven t encountered a situation that justifies switching to a different one after kernel launch did you have something in mind? to clarify this design choice we are aiming for a ux where the user writes in plain language does not really care much about what is going on in the background and everything should just work i realize there is still a long way until we reach that point though,DIRECT
4423,do you use any venv?,DIRECT
3212,so for my next personal project i am dealing with a website with strong security against crawling and the dataset i need to fetch from here is in thousands but the free access just gives 15 credits site uses cloudfare obviously hsts perimeterx security currently i am using cookie randomization from various requests custom useragent custom sleeptime and custom timeout is there any other way that i am missing to bypass its security? note its just for educational purposes not that rich to afford their plans just for a single project,DIRECT
4516,hi guys regarding time series forecasting if i use an arima or sarmiax model with exogenous variables i will be left with an unfitted error term that i can test for randomness is the next step forecasting the distribution of the error term via monte carlo simulation? i can t seem to find an answer for my question,DIRECT
1195,very noob question here how do you know if you should remove null data points or replace the data based on average stdev normal dist etc? is there like a guidebook for this?,DIRECT
6128,i m performing an elisa to test absorbance against a serial dilution of a drug what statistical analysis should i use to compare if there is a significant change in absorbance as drug concentration changes?,DIRECT
366,what are you trying to achieve?,DIRECT
2974,where would i be able to find stream processing benchmark comparisons for spark v kafka ? throughput latency etc? ,DIRECT
2901,which book then?,DIRECT
1410,what do you mean by the mlops template?,DIRECT
5135,cool thanks alot and just to clarify this analysis stuff can be performed visualised in say powerbi or some other platform would you say somethings such as point 6 you mention be created as a sort of dynamic report which can change as new data is feed in? as in in general it doesn t have to be some form of static analysis ?,DIRECT
2341,is there any point in ever having a constant feature? i don t see the point considering that the intersept exists but polynomialtransform has an include bias parameter which is true by default which does basically that adds a column of ones why?,DIRECT
500,basically i wanna do data science after studies but right now i keep getting rejected for data science internships and i don t know why but i got a data analysis bi internship should i just go for that?,DIRECT
5806,what are the formulas?,DIRECT
1212,what s autoreload?,DIRECT
3588, if you look at the exercises for the dataset on this page ignoring that it s in r you can start to get a good idea of questions to ask about data and how to find the answers compare air time with arr time dep time what do you expect to see? what do you see? what do you need to do to fix it? this is my favourite example of this it asks you to look at the data then make clear your assumptions about a relationship in the data then validate that assumption that s a great way to learn how to interpret data by finding your implicit assumptions and developing methods to validate them ,DIRECT
6640,hey guys if i wanted to get any datasets regarding fashion anything like sales figures regarding fashion where do you think i should start looking?,DIRECT
6168, there s nothing wrong it s just an odd thing to do with a friend what do you think an ideal answer to the question that you posted would have looked like?,DIRECT
6539,what s your current role?,DIRECT
6556,how is datasettype test your training set?,DIRECT
5692,there could be a whole bunch of issues have you checked what the loss and gradient values are?,DIRECT
2588,noob here so totally talking out of my ass but how about lemmatisation?,DIRECT
6702,yeah i just realized that it doesn t really make sense without an example i have a dataset with pollution data that contains the date of the measurement location type of pollutant and the measured value does that mean the dimension table would have date type and location and the measured value would be in the fact table? i m just not sure if i m understanding the concept correctly,DIRECT
5356,i have a dataset containing rows the target variable has around 16 of missing values and it is categorical the nan is mcar as it is seems to be present in all independent variable continous and categorical can anyone suggest a way to impute?,DIRECT
4175,how large is the team?,DIRECT
3327,do epochs matter for training a llm or would training for 1 epoch on a large set of samples steps would lead to the same results?,DIRECT
4373,hr manager messaged me at am yesterday asking if i was available for a interview at pm smh i hadn t even seen the message until 2 later sends a message scheduling it for pm today i get a message today at am saying can you join? we re waiting on teams now i m getting an actual phone call i suspect is from her,DIRECT
3897,is there anyone who s willing to do ds mock interview with me?,DIRECT
4358,has anyone built a dashboard for a startup? if so what kind of general metrics were really useful? by general i mean metrics that apply to a wide range of startups ,DIRECT
5725,rie what does the test do?,DIRECT
3831,how big is the company?,DIRECT
4764,hello all time for my question about cnn lstm applied to time series again lol i m trying to understand how the feature maps generated by the cnn relate to the lstm in my case i have generated 24 features maps but how does an lstm help at all given that in order to create the feature maps i needed to convolve over the entire time series anyway?,DIRECT
3524,any useful projects that can explain different types hypothesis testing with the help of python?,DIRECT
4850,what gives you the matrix transformation?,DIRECT
6440,why is on windows a no go?,DIRECT
266,but with the help of the online data scientist community ?,DIRECT
425, does anyone have issues trying to import this into mysql workbench via the import wizard? it has 867 rows but it only imports 187 it stops at iwaki japan and when i go to that exact line in the csv file there is nothing out of the ordinary there the log file gives no errors either so i have no idea where to even start trying to figure out the issue i ve looked on google and tried the various suggestions for fixing it disabling strict mode changing the encoding and they did not work as you can see google s sheet viewer can load it just fine as does excel ,DIRECT
2918,oh okay for which position it was?,DIRECT
5640, im wondering if taking the average for the day would be better but if so would it still be possible to train that data for the 15 minute intervals can you clarify what you mean by this? ,DIRECT
5801,does someone know a good youtube video or website about eigenvalues eigenvectors? helpful would be if everything you need to calculate them for example determinants is also taught ,DIRECT
1702,what do you guys talk about?,DIRECT
1146,thanks any recommendation what in statistics should i read?,DIRECT
774,just throw your question in general or free for all? people usually put cvs in free for all if it s about that,DIRECT
1147,training accuracy is fine to use for now but again it s about how you ll use the model eventually is it okay if it gets the product name correct half the time? is it more of a problem if it gets the wrong name?,DIRECT
17,obviously not?,DIRECT
863,why quick apply is frowned upon? is it because there are lower chances of getting selected for a call or because recruiters use some specific filters to filter that are not found on company websites? i see this suggestion often ,DIRECT
1397,and did you remove all traces of previous python installations?,DIRECT
4084,are there any fun nixes?,DIRECT
340,hi has anyone done the microsoft azure data science associate certifications? im trying to gain skills and try to get into the data science industry for a career would certifications like these look good on a cv resume?,DIRECT
4157,hello i m trying to understand the target encoding exercise in the feature engineering course i don t understand why using the m estimate encoder on the train set that we then send to a cross validation process doesn t count as data leak if the whole train set was encoded by the m estimator then when it is divided to train test sets in the cv process then the test set in that process is encoded with information that is based on its target can anyone please clarify this?,DIRECT
6110,do anyone has high level of knowledge about mortgage reinsurance industry and its risk factors? i need for some r d,DIRECT
1609,so over the weekend i tried to write something to parse ast it s not really relevant why but i wanted to be able to do name lookup at any point in a function and i didn t know how mypy did it tried doing something similar last year took a few weeks just to get something minimal because i really really didn t understand asts in python anyway for anything super structured like ast do you know what has memorised all of it? chatgpt ,DIRECT
1969,just a quick question for people working in industry is ai engineer an actual job title? when applying for jobs did you call yourself an ai engineer or ml data engineer?,DIRECT
6636,anyone know how i can make line chart for moving averages?,DIRECT
4492,hiya i ve got a question any one knows how would we be able to highlight texts in an image? well when i say highlight i pretty much mean i d be able to seperate the background from the texts to eventually be able to change th background colour to whatever i want and the text colour to whatever i want ,DIRECT
5695,my books say q i d like to add a delete method to the api that allows clients to delete connections any advice on how to proceed? a no one has devised an algorithm as simple and efficient as the ones in this section that can handle deletions this theme recurs throughout this book several of the data structures that we consider have the property that deleting something is much more difficult than adding something ,DIRECT
972,what certifications do you guys think are best to be accepted in an ai master program after college? i will be starting undergrad in cs in 1 year and i have a full year to dedicate myself to have certifications and side projects to increase the chances of being accepted in a good ai grade school after undegrad,DIRECT
2521,anybody got any advice for transitioning into de data architecture from a financial analytics role? i do a good bit of architectural stuff already creating data flow tools table diagrams git versioning stuff etl work but i just dont have too serious of experience with what the role entails i m hearing stuff like masters aren t worth the money right now anybody have any suggested learning material or courses to look into?,DIRECT
1243,can you work around it by choosing different initial values?,DIRECT
4956,we have user records and there is a field in that record that is a list and that list is the primary keys to another list so its like the user has a subset of properties from a larger property list we want to generate a histogram for the properties across all users i can write code to do this and with enough time get sheets to pull the data apart but is there a data science magic button?,DIRECT
