,question,label
0,hi have you guys been using chartjs?,PERMISSION
1,anyone here well versed in R,PERMISSION
2,"Hello, is anyone familiar with the confusion matrix feature from sklearn?",PERMISSION
3,anyone have experience in SQLite?,PERMISSION
4,Guys I've got a dumb question for input shapes if anyone is about,PERMISSION
5,anyone good at calc to here?,PERMISSION
6,i just need to quickly ask smth,PERMISSION
7,Does anyone have experience with R?,PERMISSION
8,Hi anyone with flask knowledge,PERMISSION
9,is there anyone that can help me with a quick python question,PERMISSION
10,"Hello guys, I am new here. But I have a doubt If anyone is willing to help out please let me know.",PERMISSION
11,"I have some problems understanding some code, I am using for my course. And I need help with it, and how it works, currently using Jupyter and learning Data Mining",PERMISSION
12,Can anyone help me with a keras neural network problem?,PERMISSION
13,does anyone know how to use R here at all?,PERMISSION
14,"Hi I am student and planning to start my career in Machine learning .I need help in improving my resume , Can some help me out ?",PERMISSION
15,Does anyone have experience with GANs here?,PERMISSION
16,Is anyone here familiar with tf-idf weight calculation?,PERMISSION
17,"Hello, does anyone here know R",PERMISSION
18,has anyone done a kaggle project?,PERMISSION
19,Hey have anyone of you have worked on computer vision? Need some help,PERMISSION
20,"anyone here familiar with python data anaylsis, stuff like naive bayes?",PERMISSION
21,can i ask question about apa style scatterplots,PERMISSION
22, anyone here know anyhting about fMRI datasets?,PERMISSION
23,"Hi, Does anyone have experience in building Hotel demand forecasting models?",PERMISSION
24,"hi,i want to build my career in data science field and I will want to see myself as a data scientist. please help me.",PERMISSION
25,"hello guys. anyone familiar with protobuf on windows? i am trying to set up my model/dataset for a tensorflow object detection tutorial, yet can't seem to make it work.",PERMISSION
26,"Hi guys, I'm trying to plot 3 simple time series in pandas. I'm having a hell of a time trying to figure it out. Would someone be able to give me a few tips?",PERMISSION
27,"Hey guys, is there a place where I can ask a question or something like that?",PERMISSION
28,Anyone proficient with Tensorflow Extended here? I badly need help,PERMISSION
29,Hi is anyone here familiar with pandas?,PERMISSION
30,does anyone know about collections module in python?,PERMISSION
31,"hi, could I get some help with linear programming/optimization?",PERMISSION
32,does anyone know matplotlib here,PERMISSION
33,Do you mind if I DM you?,PERMISSION
34,"hey guys, is anyone here familiar with bayesian network structure learning?",PERMISSION
35,has anyone worked w the un_votes package in Rstudio?,PERMISSION
36,Does anyone use Looker?,PERMISSION
37,Someone avaliable to help me with a problem?,PERMISSION
38,Hey is anyone familiar with Hierarchial Clustering in python jupyter notebook?,PERMISSION
39,is there anyone good with hadoop,PERMISSION
40,Any ML dev or data scientist available to answer a few questions regarding datasets?,PERMISSION
41,Anybody got experience with parquet and/or mxnet?,PERMISSION
42,Does anyone know anything about ERD? (entity relationship diagrtams?),PERMISSION
43,Hey is anyone here good with r?,PERMISSION
44,i am trying cluster with vae can anybody help?,PERMISSION
45,someone can help me with power bi?,PERMISSION
46,hi guys! i have a problem while converting event stream data to  spadl,PERMISSION
47,"Hello all, has anyone worked with fbprophet?",PERMISSION
48,Anyone know SQL?,PERMISSION
49,Could I trouble you with a quick question haha? I feel like you might know the answer,PERMISSION
50,Could I trouble you with a quick question?,PERMISSION
51,can I trouble you with a quick question?,PERMISSION
52,"Hi guys Can anyone help me, how to implement a ML with 2 target variables",PERMISSION
53,Hello there has anyone here taken math 152 or is currently taking because I have a question,PERMISSION
54,Who is good in cryptography here ?,PERMISSION
55,anyone please help me with the single linear regression?,PERMISSION
56,Does anyone have any expeirence with lightgbm?,PERMISSION
57,anyone here has a little time? i need help,PERMISSION
58,Anyone familiar with Rasch models? I’m doing a class next year on it and wanted to familiarize myself,PERMISSION
59,"I'm a complete sped, using Windows, trying to download something off github without an exe, so i'm unsure how to run/build the files anyone mind takin a peek? ",PERMISSION
60,Does anyone here work in Financial Crimes (Fraud/Risk/Money Laundering etc.)?,PERMISSION
61,hello! by any chance has someone used Azure Synapse for event prediction?,PERMISSION
62,Does anyone use AWS quicksights?,PERMISSION
63,Anyone here Who knows SAS? Need some help.,PERMISSION
64,Where can I get answer for my question?,PERMISSION
65,anyone here in data analytics or BI and can help me with finding insights from a dataset?,PERMISSION
66,Does someone strong in multi arm bandit (adversial) could help me in finishing an exercise I'm doing ?,PERMISSION
67,anyone that have already used tsfresh can help me please?,PERMISSION
68,Hello I was wondering if anyone could help me,PERMISSION
69,"Hi, is this the right channel to ask a Python question?",PERMISSION
70,Anyone here which is experienced with NLP?,PERMISSION
71,"Could someone please help with merging data, as I have some strange problem?",PERMISSION
72,is this where I ask questions?,PERMISSION
73,"Hi Friends, Is there anyone who use R Services OR python Services in MS SQL?",PERMISSION
74,Does anyone have experience in creating graph datasets for GNN models?,PERMISSION
75,Does anyone program in R here?,PERMISSION
76,Anyone here have any experience or interest in forecasting/analyzing global conflict?,PERMISSION
77,"Hi, I am new to this field and joined as an Analyst in a Startup, Anyone with exp would like to answer some of my quiries regarding being a Data Analyst?",PERMISSION
78,"I am new in the group, but is it possible to share my code work what I have at the moment?",PERMISSION
