May 15, 2024 > 18:11:28 | CRITICAL | Improper token has been passed. | {}
May 15, 2024 > 18:25:23 | INFO | DontAskToAsk Bot#1620 is now running! | {}
May 15, 2024 > 18:26:37 | INFO | DontAskToAsk Bot#1620 is now running! | {}
May 15, 2024 > 18:26:47 | ERROR | 'Embed' object has no attribute 'format' | {'user_response': <discord.embeds.Embed object at 0x11eca8ee0>}
May 15, 2024 > 18:28:00 | INFO | DontAskToAsk Bot#1620 is now running! | {}
May 15, 2024 > 18:28:13 | ERROR | 'Embed' object has no attribute 'format' | {}
May 15, 2024 > 18:30:22 | INFO | DontAskToAsk Bot#1620 is now running! | {}
May 15, 2024 > 19:09:12 | INFO | DontAskToAsk Bot#1620 is now running! | {}
May 15, 2024 > 19:23:08 | INFO | DontAskToAsk Bot#1620 is now running! | {}
May 16, 2024 > 11:46:46 | INFO | DontAskToAsk Bot#1620 is now running! | {}
May 16, 2024 > 13:07:19 | INFO | DontAskToAsk Bot#1620 is now running! | {}
May 16, 2024 > 13:38:57 | INFO | DontAskToAsk Bot#1620 is now running! | {}
May 16, 2024 > 13:59:04 | INFO | DontAskToAsk Bot#1620 is now running! | {}
May 16, 2024 > 15:25:03 | INFO | DontAskToAsk Bot#1620 is now running! | {}
May 16, 2024 > 17:54:31 | INFO | DontAskToAsk Bot#1620 is now running! | {}
May 16, 2024 > 20:28:59 | INFO | DontAskToAsk Bot#1620 is now running! | {}
May 16, 2024 > 23:44:19 | INFO | DontAskToAsk Bot#1620 is now running! | {}
May 17, 2024 > 11:32:57 | INFO | DontAskToAsk Bot#1620 is now running! | {}
May 17, 2024 > 14:18:02 | INFO | DontAskToAsk Bot#1620 is now running! | {}
May 17, 2024 > 15:01:12 | INFO | DontAskToAsk Bot#1620 is now running! | {}
May 17, 2024 > 16:26:40 | INFO | DontAskToAsk Bot#1620 is now running! | {}
May 17, 2024 > 17:49:29 | INFO | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 00:04:45 | INFO | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 10:54:28 | INFO | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 13:24:31 | INFO | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 14:32:04 | INFO | DontAskToAsk Bot#1620 is now running! | {}
May 18, 2024 > 18:55:49 | INFO | Model loaded successfully from Config(token='resources/models/SVM94Tuned20.joblib') | {}
May 18, 2024 > 18:55:49 | INFO | Model loaded successfully from Config(token='resources/models/SVM94Tuned20.joblib') | {}
May 18, 2024 > 18:55:49 | INFO | Discord token successfully retrieved. | {}
